Angle_deg,xs_mb_sr,Direct_mb_sr,Compound_mb_sr,xs_Rutherford,Nuc_interfer,beam_energy_MeV
40.0,1209.929,1177.59,32.33908,0.98909,-13.3459,5.8
42.0,1039.149,1006.81,32.33908,1.0193,19.67582,5.8
44.0,899.1031,866.764,32.33908,1.0477,40.93468,5.8
46.0,782.2631,749.924,32.33908,1.07292,53.16574,5.8
48.0,683.3901,651.051,32.33908,1.09372,58.55915,5.8
50.0,598.7521,566.413,32.33908,1.10908,58.88834,5.8
52.0,525.6391,493.3,32.33908,1.11819,55.55881,5.8
54.0,462.0421,429.703,32.33908,1.12045,49.67019,5.8
56.0,406.4371,374.098,32.33908,1.11547,42.07312,5.8
58.0,357.6461,325.307,32.33908,1.1031,33.42698,5.8
60.0,314.7341,282.395,32.33908,1.08336,24.21746,5.8
62.0,276.9481,244.609,32.33908,1.05649,14.80827,5.8
64.0,243.6651,211.326,32.33908,1.02289,5.452672,5.8
66.0,214.3631,182.024,32.33908,0.983108,-3.683236,5.8
68.0,188.5991,156.26,32.33908,0.937847,-12.49884,5.8
70.0,165.9891,133.65,32.33908,0.88791,-20.9545,5.8
72.0,146.1951,113.856,32.33908,0.834196,-29.0576,5.8
74.0,128.9234,96.5843,32.33908,0.777669,-36.85844,5.8
76.0,113.9093,81.5702,32.33908,0.719343,-44.44254,5.8
78.0,100.9174,68.5783,32.33908,0.660253,-51.92916,5.8
80.0,89.73549,57.3964,32.33908,0.601438,-59.46608,5.8
82.0,80.17198,47.8329,32.33908,0.54392,-67.22467,5.8
84.0,72.05348,39.7144,32.33908,0.488684,-75.39043,5.8
86.0,65.22229,32.8832,32.33908,0.43666,-84.14401,5.8
